Div,Tier,n,median,q25,q75,IQR
E0,Top,3994,1.0465288914642992,1.0413868146753655,1.0497555393389462,0.008368724663580629
SP1,Top,3973,1.0503356376392647,1.047405683481372,1.0532366011005978,0.005830917619225717
D1,Top,3187,1.050369753454168,1.0473380162974948,1.0529348438743131,0.005596827576818342
I1,Top,3960,1.0507643500719313,1.0479859493248314,1.053664032419067,0.005678083094235564
F1,Top,3829,1.0516335980593976,1.0498421407784064,1.053808765306793,0.003966624528386475
E1,Second,5260,1.0531398173842366,1.0489719705274572,1.0558355257481293,0.006863555220672168
D2,Second,2881,1.0602946805593578,1.0585739478363878,1.062529498007242,0.0039555501708541385
E2,Second,5066,1.0616163972489092,1.0577444128158835,1.0646618138861337,0.006917401070250184
I2,Second,3298,1.0637178751305407,1.0600624893809982,1.068229977698726,0.008167488317727845
SP2,Second,3678,1.065180517472311,1.0608467837473348,1.0713512602364799,0.010504476489145098
F2,Second,3410,1.0676462541484555,1.0642225736443156,1.069466932967048,0.005244359322732484
