bin,mean_p,realized,k,n,ci_lo,ci_hi
"[0,0.05)",0.04012335136503777,0.02821316614420063,9,319,0.014912500643077267,0.052741729790671044
"[0.05,0.1)",0.07859437621248896,0.06512820512820512,127,1950,0.05500850514723086,0.07695797565653538
"[0.1,0.15)",0.12792818889053212,0.11691312384473197,506,4328,0.10767812270486904,0.12682758960003146
"[0.15,0.2)",0.1773158646079617,0.1670113124923975,1373,8221,0.15910441873996597,0.1752292661786591
"[0.2,0.25)",0.2281145182389039,0.20873143175953693,2993,14339,0.2021578744758204,0.21546101633030829
"[0.25,0.3)",0.2778840494647476,0.27320787794121676,9974,36507,0.2686608293894888,0.27780265174812496
"[0.3,0.35)",0.3195186633037043,0.3269250971740729,6224,19038,0.32029711274627104,0.3336229156610655
"[0.35,0.4)",0.37490333691111044,0.37377744971396937,4051,10838,0.3647150622403154,0.38292928629914297
"[0.4,0.45)",0.42419550669867445,0.42935366115525014,3999,9314,0.4193322026391829,0.4394333724270427
"[0.45,0.5)",0.4730479059178624,0.4848567904618336,3538,7297,0.47340064597626397,0.4963288712344641
"[0.5,0.55)",0.5241755929256525,0.5408560311284046,2780,5140,0.527207038066607,0.5544439987771403
"[0.55,0.6)",0.5734083772887857,0.5942373777425324,2248,3783,0.5785016023563377,0.6097819529949079
"[0.6,0.65)",0.6232511696168638,0.648077735530207,1534,2367,0.6286123900473876,0.6670632046443877
"[0.65,0.7)",0.6733891806703532,0.7148217636022514,1143,1599,0.6921970494631347,0.7364167324601694
"[0.7,0.75)",0.7224016794846743,0.7458256029684601,804,1078,0.7189926953989255,0.7709126659774533
"[0.75,0.8)",0.7740740028334973,0.7914032869785083,626,791,0.7617130505060826,0.8182767235570768
"[0.8,0.85)",0.8227537194856229,0.8423326133909287,390,463,0.8063372123347484,0.8726939622649444
"[0.85,0.9)",0.8721966594498964,0.9128440366972477,199,218,0.8678949205845068,0.9434948277764859
"[0.9,0.95)",0.908598767003844,1,18,18,0.8241154494176252,1
