facet,group,slope,intercept,n_obs
Tier,Second,1.1016445122792018,-0.033881504093067207,70779
Tier,Top,1.0674065946321354,-0.022468864877378463,56829
Overround Q,Q1 (low margin),1.0550537522614933,-0.01835125075383107,31902
Overround Q,Q2,1.0734569925822215,-0.024485664194073786,31902
Overround Q,Q3,1.075703944349769,-0.025234648116589674,31902
Overround Q,Q4 (high margin),1.1522016617214568,-0.05073388724048567,31902
Disagreement Q,Q1 (low disagree),1.0269628127405093,-0.008987604246836423,31902
Disagreement Q,Q2,1.085561956013452,-0.02852065200448402,31902
Disagreement Q,Q3,1.0709971798928049,-0.02366572663093495,31902
Disagreement Q,Q4 (high disagree),1.1257460977015588,-0.04191536590051963,31902
