Regime,Model,Brier,LogLoss,MacroAUC,n,BrierLift,LogLossLift
1,XGBoost,0.6316,1.049,0.6187,1725,0.002088,0.001322
1,Elastic Net,0.6321,1.049,0.6196,1725,0.001286,0.001113
1,Shin (1993),0.6326,1.05,0.618,1725,4.515e-4,4.089e-4
1,Naive baseline,0.6329,1.05,0.6178,1725,0,0
1,Random Forest,0.6362,1.055,0.6023,1725,-0.005122,-0.004542
2,Elastic Net,0.3762,0.683,0.665,766,0.003802,0.004279
2,Shin (1993),0.3767,0.684,0.6625,766,0.002687,0.002835
2,Naive baseline,0.3777,0.686,0.6624,766,0,0
2,XGBoost,0.379,0.6907,0.6677,766,-0.003489,-0.006919
2,Random Forest,0.3877,0.705,0.6585,766,-0.0266,-0.02769
3,Shin (1993),0.6494,1.073,0.576,4998,1.077e-4,1.117e-4
3,Naive baseline,0.6495,1.074,0.576,4998,0,0
3,Elastic Net,0.6499,1.074,0.5735,4998,-5.173e-4,-5.085e-4
3,XGBoost,0.6508,1.076,0.5714,4998,-0.001919,-0.001868
3,Random Forest,0.6549,1.082,0.563,4998,-0.008226,-0.007574
4,Shin (1993),0.5504,0.9332,0.6553,2578,0.001366,0.001275
4,Naive baseline,0.5511,0.9344,0.6553,2578,0,0
4,Elastic Net,0.5512,0.9348,0.65,2578,-1.837e-4,-3.941e-4
4,XGBoost,0.5534,0.9382,0.6474,2578,-0.004046,-0.004095
4,Random Forest,0.5625,0.9529,0.6317,2578,-0.02059,-0.0198
