Strategy,Model,N,Avg_odds,Win_rate,Total_profit,ROI,Sharpe,MaxDD_abs,MaxDD_pct
A: Regime 1,Elastic Net,1710,3.841,0.2678,-149.6,-0.08751,-3.186,181.3,1009
B: Regime 1+2,Elastic Net,2246,4.41,0.3054,-69.69,-0.03103,-0.9602,193.7,1145
C: Regime 3+4 (ctl),Elastic Net,6164,3.6,0.3011,-479.1,-0.07773,-2.971,542.2,2192
Unconditional,Elastic Net,8410,3.816,0.3023,-548.8,-0.06526,-2.335,586.7,3403
A: Regime 1,Shin (1993),1707,3.833,0.2718,-127.5,-0.0747,-2.707,146.8,2584
B: Regime 1+2,Shin (1993),2193,4.36,0.2987,-84.17,-0.03838,-1.214,164.4,1929
C: Regime 3+4 (ctl),Shin (1993),5640,3.418,0.3316,-311.6,-0.05526,-2.189,317.3,31730
Unconditional,Shin (1993),7833,3.682,0.3224,-395.8,-0.05053,-1.86,405.3,20570
A: Regime 1,XGBoost,1681,3.784,0.2808,-105.6,-0.06284,-2.292,133.2,1948
B: Regime 1+2,XGBoost,2374,5.652,0.2603,-118.1,-0.04973,-1.405,208.3,2163
C: Regime 3+4 (ctl),XGBoost,6845,3.715,0.2977,-426.2,-0.06226,-2.313,484.8,1450
Unconditional,XGBoost,9219,4.214,0.2881,-544.3,-0.05904,-2.012,576.3,2216
