Model,Strategy,N,Flat_ROI,Kelly_ROI,Delta_ROI,Kelly_Sharpe,Flat_Sharpe,Kelly_mean_stake,Kelly_median_stake,Kelly_max_stake,Kelly_cap_hit_pct,Kelly_anomalous_n,Total_staked,Total_profit
Elastic Net,Unconditional,8410,-0.06526,-0.04806,0.0172,-0.03948,-2.335,0.007292,0.005165,0.1,0.01189,0,61.33,-2.948
Shin (1993),Unconditional,7833,-0.05053,-0.04136,0.009173,-0.03144,-1.86,0.00669,0.004811,0.0839,0,0,52.4,-2.167
XGBoost,Unconditional,9219,-0.05904,-0.04593,0.01311,-0.03401,-2.012,0.01005,0.007819,0.07788,0,0,92.65,-4.255
Elastic Net,A: Regime 1,1710,-0.08751,-0.05162,0.03589,-0.05385,-3.186,0.01294,0.01146,0.1,0.05848,0,22.13,-1.142
Shin (1993),A: Regime 1,1707,-0.0747,-0.06155,0.01315,-0.04576,-2.707,0.01267,0.01155,0.07954,0,0,21.64,-1.332
XGBoost,A: Regime 1,1681,-0.06284,-0.0256,0.03724,-0.03875,-2.292,0.01499,0.01326,0.07269,0,0,25.19,-0.6451
Elastic Net,B: Regime 1+2,2246,-0.03103,-0.02901,0.002018,-0.01623,-0.9602,0.01246,0.01055,0.1,0.04452,0,27.97,-0.8116
Shin (1993),B: Regime 1+2,2193,-0.03838,-0.03798,3.995e-4,-0.02053,-1.214,0.01154,0.01035,0.0839,0,0,25.31,-0.9614
XGBoost,B: Regime 1+2,2374,-0.04973,-0.03881,0.01092,-0.02374,-1.405,0.01329,0.01095,0.07788,0,0,31.54,-1.224
Elastic Net,C: Regime 3+4 (ctl),6164,-0.07773,-0.06404,0.01369,-0.05021,-2.971,0.005411,0.00412,0.05786,0,0,33.35,-2.136
Shin (1993),C: Regime 3+4 (ctl),5640,-0.05526,-0.04451,0.01075,-0.03701,-2.189,0.004803,0.003676,0.04713,0,0,27.09,-1.206
XGBoost,C: Regime 3+4 (ctl),6845,-0.06226,-0.0496,0.01266,-0.03909,-2.313,0.008927,0.007084,0.06989,0,0,61.1,-3.031
